Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.776,9.610,7.015,10530,nan
toucher,0.668,17.517,6.193,10530,nan
toucher,0.653,25.165,6.047,10356,1.650
toucher,0.695,32.972,6.105,10530,1.650
toucher,0.680,43.476,8.653,10350,1.133
toucher,0.631,51.577,6.401,10530,1.133
toucher,0.627,59.607,6.255,10350,1.411
toucher,0.609,67.776,6.411,10530,1.411
toucher,0.647,75.706,6.262,10530,1.411
toucher,0.613,83.456,5.916,10350,1.178
toucher,0.606,91.274,6.188,10530,1.178
toucher,0.649,99.092,5.995,10350,1.017
toucher,0.611,107.084,6.335,10530,1.017
toucher,0.606,115.179,6.388,10350,1.151
toucher,0.606,122.970,6.043,10530,1.151
toucher,0.610,130.694,6.156,10530,1.151
toucher,0.600,138.578,6.065,10350,0.906
toucher,0.680,146.423,6.159,10530,0.906
toucher,0.640,155.170,6.750,10350,1.450
toucher,0.660,164.332,7.341,10530,1.450
toucher,0.614,173.099,6.886,10350,1.144
toucher,0.649,182.118,7.104,10530,1.144
toucher,0.605,190.349,6.572,10350,1.068
