Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,1.711,28.058,21.707,10252,-0.038
dodjiesLearn,1.029,57.408,23.619,10352,-0.291
dodjiesLearn,0.906,85.102,22.354,10308,-0.244
dodjiesLearn,0.901,112.497,22.057,10286,-0.259
dodjiesLearn,0.908,138.460,21.203,10302,-0.302
dodjiesLearn,0.981,164.508,20.927,10326,-0.290
dodjiesLearn,0.922,191.772,21.961,10326,-0.249
dodjiesLearn,0.943,216.745,19.893,10306,-0.208
dodjiesLearn,0.929,242.534,20.667,10254,-0.240
dodjiesLearn,0.950,268.869,20.815,10344,-0.220
dodjiesLearn,0.899,293.839,19.838,10264,-0.200
dodjiesLearn,0.908,320.899,21.754,10346,-0.187
dodjiesLearn,0.898,346.004,20.222,10280,-0.182
dodjiesLearn,0.968,371.573,20.335,10296,-0.169
dodjiesLearn,0.910,397.188,20.765,10326,-0.172
dodjiesLearn,0.955,422.985,20.869,10332,-0.178
dodjiesLearn,0.971,448.605,20.610,10326,-0.169
dodjiesLearn,0.965,475.250,21.236,10346,-0.158
dodjiesLearn,0.919,500.418,20.187,10258,-0.150
dodjiesLearn,0.877,525.749,20.027,10300,-0.143
dodjiesLearn,0.935,551.755,20.914,10364,-0.139
dodjiesLearn,0.906,577.918,20.934,10318,-0.133
dodjiesLearn,0.900,602.986,20.053,10272,-0.126
dodjiesLearn,0.951,627.831,19.997,10284,-0.122
dodjiesLearn,0.923,653.292,20.444,10304,-0.116
dodjiesLearn,0.871,679.682,21.147,10338,-0.109
dodjiesLearn,0.895,704.520,19.754,10242,-0.105
dodjiesLearn,0.862,730.169,20.523,10306,-0.100
dodjiesLearn,0.922,755.293,20.058,10246,-0.095
dodjiesLearn,0.904,780.612,19.940,10310,-0.090
dodjiesLearn,0.865,805.616,19.899,10324,-0.087
dodjiesLearn,0.942,830.689,20.139,10360,-0.093
dodjiesLearn,0.872,855.951,20.309,10242,-0.100
dodjiesLearn,0.927,881.056,20.009,10290,-0.100
dodjiesLearn,0.873,906.223,20.077,10312,-0.104
dodjiesLearn,0.866,937.742,26.283,10318,-0.108
