Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.619,1249.701,6.533,10275,6.295
toucher,0.634,1258.937,7.174,10280,6.241
toucher,0.638,1267.082,6.511,10305,6.229
toucher,0.632,1275.709,6.674,10305,6.214
toucher,0.635,1283.916,6.456,10250,6.152
toucher,0.639,1292.298,6.486,10305,6.137
toucher,0.662,1300.631,6.528,10280,6.081
toucher,0.648,1309.142,6.618,10275,6.051
toucher,0.721,1318.110,6.869,10248,6.263
toucher,0.642,1326.756,6.570,10305,6.257
toucher,0.628,1335.238,6.519,10305,6.242
toucher,0.651,1343.707,6.475,10267,6.668
toucher,0.676,1352.138,6.459,10305,6.644
toucher,0.632,1360.528,6.533,10245,6.605
toucher,0.618,1368.777,6.401,10245,6.564
toucher,0.624,1377.291,6.574,10275,6.539
toucher,0.641,1385.534,6.441,10250,6.723
toucher,0.610,1393.915,6.422,10245,6.945
toucher,0.634,1402.257,6.498,10280,6.889
toucher,0.644,1410.611,6.504,10275,6.856
toucher,0.628,1419.178,6.526,10299,7.274
toucher,0.659,1427.647,6.637,10270,7.274
toucher,0.712,1436.315,6.509,10245,7.231
toucher,0.630,1445.518,7.222,10245,7.181
toucher,0.647,1457.459,6.730,10285,7.375
toucher,0.672,1466.926,7.218,10267,7.547
toucher,0.670,1476.074,6.976,10241,7.728
toucher,0.664,1485.409,7.213,10275,7.695
toucher,0.681,1494.488,6.874,10275,7.668
toucher,0.701,1503.562,6.953,10305,8.047
toucher,0.738,1512.399,6.769,10281,8.219
toucher,0.657,1521.270,6.769,10245,8.394
toucher,0.691,1530.623,7.259,10275,8.355
toucher,0.644,1539.304,6.660,10280,8.296
toucher,0.635,1547.800,6.585,10305,8.464
toucher,0.642,1556.130,6.450,10305,8.449
toucher,0.629,1564.419,6.467,10250,8.374
toucher,0.634,1573.011,6.569,10272,8.557
toucher,0.670,1581.718,6.399,10275,8.513
toucher,0.643,1590.183,6.448,10245,8.470
toucher,0.634,1598.571,6.443,10245,8.421
toucher,0.663,1607.035,6.544,10245,8.375
toucher,0.644,1615.804,6.645,10251,8.555
toucher,0.665,1624.507,6.722,10280,8.498
toucher,0.620,1633.523,6.968,10248,8.657
toucher,0.677,1641.971,6.449,10292,8.821
toucher,0.639,1650.415,6.452,10250,8.962
toucher,0.653,1658.667,6.419,10305,8.951
toucher,0.625,1667.279,6.701,10280,8.889
toucher,0.627,1675.765,6.552,10275,8.860
toucher,0.631,1684.154,6.569,10280,8.805
toucher,0.649,1692.756,6.590,10275,8.772
toucher,0.632,1701.082,6.419,10252,8.937
toucher,0.662,1709.683,6.585,10304,9.077
toucher,0.625,1718.156,6.619,10290,9.244
toucher,0.639,1726.731,6.655,10280,9.175
toucher,0.660,1734.995,6.479,10305,9.159
toucher,0.687,1743.557,6.537,10250,9.078
toucher,0.709,1751.817,6.456,10270,9.078
toucher,0.638,1760.206,6.419,10245,9.031
toucher,0.639,1768.449,6.380,10245,9.002
toucher,0.636,1776.798,6.575,10275,8.976
toucher,0.624,1785.259,6.438,10280,8.922
toucher,0.644,1793.532,6.562,10305,8.907
toucher,0.631,1801.927,6.446,10250,8.837
toucher,0.663,1810.358,6.622,10279,9.013
toucher,0.627,1818.848,6.616,10245,8.967
toucher,0.669,1828.324,7.012,10245,8.930
toucher,0.688,1839.404,8.843,10278,9.073
toucher,0.926,1849.802,7.876,10304,9.203
toucher,0.847,1861.906,9.591,10305,9.192
toucher,0.669,1871.848,7.721,10265,9.274
toucher,0.761,1881.586,7.714,10270,9.274
toucher,0.746,1891.507,7.674,10245,9.233
toucher,0.647,1901.794,8.143,10245,9.195
toucher,0.649,1910.405,6.680,10254,9.335
toucher,0.657,1920.168,7.596,10245,9.291
toucher,0.740,1928.932,6.844,10243,9.426
toucher,0.661,1938.544,7.456,10305,9.685
toucher,0.966,1948.191,7.309,10248,9.843
toucher,0.690,1957.833,7.362,10244,10.112
toucher,0.704,1967.393,7.295,10281,10.220
toucher,0.731,1976.530,7.045,10305,10.206
toucher,0.667,1985.553,6.901,10280,10.144
toucher,0.639,1994.503,6.844,10334,10.719
toucher,0.616,2003.034,6.491,10275,10.688
toucher,0.619,2011.347,6.368,10300,10.810
toucher,0.637,2019.875,6.636,10275,10.774
toucher,0.651,2028.481,6.558,10280,10.718
toucher,0.665,2036.791,6.450,10275,10.688
toucher,0.637,2045.267,6.512,10245,10.635
toucher,0.609,2053.649,6.581,10245,10.589
toucher,0.636,2062.132,6.540,10305,10.573
toucher,0.649,2071.190,6.969,10375,10.527
toucher,0.628,2080.226,7.004,10275,10.501
toucher,0.632,2089.652,7.155,10284,10.750
toucher,0.649,2098.426,6.827,10275,10.714
toucher,0.641,2107.286,6.585,10275,10.687
toucher,0.636,2115.831,6.601,10345,10.619
toucher,0.649,2124.607,6.700,10294,10.736
toucher,0.631,2133.129,6.708,10275,10.708
toucher,0.720,2142.354,7.049,10275,10.680
toucher,0.683,2151.119,6.701,10280,10.631
toucher,0.701,2160.183,7.063,10275,10.601
toucher,0.646,2168.605,6.494,10275,10.575
toucher,0.730,2177.696,6.877,10272,10.666
toucher,0.629,2186.168,6.518,10245,10.629
toucher,0.640,2194.609,6.513,10296,10.736
toucher,0.636,2204.159,7.353,10275,10.711
