Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.834,8.073,5.186,10920,nan
toucher,0.689,17.751,8.396,10920,nan
toucher,0.669,23.089,4.115,10920,nan
toucher,0.654,28.316,4.027,10920,nan
toucher,0.669,33.508,3.988,10572,36.642
toucher,0.638,38.991,4.256,10920,36.642
toucher,0.628,44.233,4.069,10920,36.642
toucher,0.624,49.435,4.036,10920,36.642
toucher,0.620,54.539,3.903,10560,37.153
toucher,0.625,59.939,4.011,10920,37.153
toucher,0.631,65.100,4.025,10920,37.153
toucher,0.632,70.415,4.115,10920,37.153
toucher,0.628,75.668,4.082,10920,37.153
toucher,0.627,80.880,3.887,10560,37.152
toucher,0.726,86.352,4.118,10920,37.152
toucher,0.665,91.614,4.049,10920,37.152
toucher,0.654,96.882,4.072,10920,37.152
toucher,0.625,102.103,3.988,10560,37.013
toucher,0.657,107.571,4.099,10910,36.472
toucher,0.630,113.049,4.040,10816,35.838
toucher,0.628,118.163,3.836,10256,35.714
toucher,0.603,123.196,3.900,10270,35.714
toucher,0.603,128.110,3.642,10325,35.776
toucher,0.608,133.248,3.858,10275,35.842
toucher,0.623,138.540,3.954,10760,35.887
toucher,0.606,143.632,3.824,10270,35.887
toucher,0.592,148.625,3.837,10420,36.026
toucher,0.588,153.868,3.919,10305,36.060
toucher,0.607,158.991,3.840,10730,35.999
toucher,0.598,164.100,3.830,10305,36.002
toucher,0.595,169.192,3.925,10270,36.002
toucher,0.586,174.050,3.663,10287,35.802
toucher,0.636,179.260,3.855,10305,35.858
toucher,0.637,184.503,3.908,10695,35.901
toucher,0.585,189.587,3.792,10305,35.924
toucher,0.584,194.632,3.958,10270,35.924
toucher,0.597,199.612,3.687,10325,35.845
toucher,0.634,204.725,3.802,10275,35.856
toucher,0.593,209.892,3.914,10305,35.861
toucher,0.594,214.865,3.758,10595,35.861
toucher,0.619,219.968,3.897,10580,35.893
toucher,0.598,225.129,3.853,10275,35.913
toucher,0.599,230.344,3.891,10275,35.861
toucher,0.604,235.367,3.779,10630,35.836
toucher,0.605,240.308,3.796,10270,35.836
toucher,0.619,245.435,3.858,10455,35.784
toucher,0.613,250.501,3.794,10275,35.784
toucher,0.607,255.741,3.942,10305,35.786
toucher,0.605,260.817,3.811,10595,35.786
toucher,0.613,265.868,3.884,10580,35.847
toucher,0.625,271.156,3.926,10275,35.841
toucher,0.602,276.449,3.931,10253,35.526
toucher,0.638,281.665,3.866,10630,35.538
toucher,0.606,286.855,3.905,10270,35.538
toucher,0.635,292.253,4.014,10450,35.591
toucher,0.589,297.482,3.914,10275,35.591
toucher,0.625,303.617,3.959,10275,35.613
