Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
dodjiesLearn,0.924,891.171,7.004,10294,-0.006
dodjiesLearn,0.965,899.709,6.891,10340,-0.006
dodjiesLearn,0.926,907.861,6.617,10278,-0.005
dodjiesLearn,0.917,916.185,6.754,10304,-0.005
dodjiesLearn,0.960,924.857,7.038,10264,-0.005
dodjiesLearn,1.083,933.525,6.953,10346,-0.005
dodjiesLearn,1.140,943.368,7.974,10322,-0.005
dodjiesLearn,0.986,952.589,7.509,10296,-0.004
dodjiesLearn,1.005,961.518,7.247,10292,-0.004
dodjiesLearn,0.925,970.020,6.890,10284,-0.004
dodjiesLearn,0.977,978.856,7.189,10338,-0.003
dodjiesLearn,0.946,987.269,6.774,10280,-0.003
dodjiesLearn,0.949,995.904,6.983,10358,-0.003
dodjiesLearn,0.972,1004.564,7.017,10318,-0.003
dodjiesLearn,0.983,1013.066,6.856,10336,-0.003
dodjiesLearn,0.935,1021.941,7.223,10292,-0.003
dodjiesLearn,0.934,1030.524,7.005,10242,-0.003
dodjiesLearn,0.955,1039.230,7.064,10306,-0.002
dodjiesLearn,0.960,1047.767,6.887,10292,-0.002
dodjiesLearn,0.952,1056.607,7.219,10366,-0.002
dodjiesLearn,0.934,1065.259,7.033,10304,-0.002
dodjiesLearn,0.985,1074.110,7.162,10348,-0.002
dodjiesLearn,0.972,1082.689,6.946,10320,-0.002
dodjiesLearn,0.940,1091.219,6.939,10298,-0.002
dodjiesLearn,0.955,1099.789,6.953,10272,-0.002
dodjiesLearn,0.960,1108.425,6.988,10322,-0.002
dodjiesLearn,0.961,1117.164,7.052,10350,-0.002
dodjiesLearn,0.951,1125.795,7.017,10326,-0.002
dodjiesLearn,1.023,1134.470,6.967,10354,-0.002
dodjiesLearn,0.945,1143.236,7.117,10294,-0.002
dodjiesLearn,0.931,1151.702,6.878,10254,-0.002
dodjiesLearn,0.982,1160.596,7.187,10326,-0.002
dodjiesLearn,0.954,1169.521,7.266,10292,-0.002
dodjiesLearn,0.975,1178.353,7.202,10300,-0.001
dodjiesLearn,0.879,1186.813,6.924,10294,-0.001
dodjiesLearn,0.913,1194.707,6.365,10336,-0.001
dodjiesLearn,1.159,1204.366,7.822,10242,-0.001
dodjiesLearn,1.122,1214.540,8.323,10416,-0.001
dodjiesLearn,0.981,1223.628,7.378,10498,-0.001
dodjiesLearn,1.057,1232.708,7.332,10316,-0.001
dodjiesLearn,0.999,1241.652,7.254,10308,-0.001
dodjiesLearn,0.974,1250.409,7.111,10290,-0.001
dodjiesLearn,0.984,1258.883,6.811,10302,-0.001
dodjiesLearn,0.957,1267.615,7.050,10350,-0.001
dodjiesLearn,0.958,1276.400,7.136,10280,-0.001
dodjiesLearn,0.961,1285.009,6.968,10324,-0.001
dodjiesLearn,0.944,1294.336,7.247,10366,-0.001
dodjiesLearn,0.956,1302.703,6.767,10242,-0.001
dodjiesLearn,1.109,1311.616,7.103,10286,-0.001
dodjiesLearn,0.973,1320.378,7.107,10348,-0.002
dodjiesLearn,0.998,1329.222,7.170,10366,-0.001
dodjiesLearn,0.960,1338.326,7.398,10360,-0.001
dodjiesLearn,1.097,1347.521,7.410,10322,-0.001
dodjiesLearn,0.936,1356.578,7.435,10300,-0.002
dodjiesLearn,0.993,1365.464,7.174,10418,-0.002
dodjiesLearn,0.961,1373.980,6.857,10248,-0.002
dodjiesLearn,1.089,1383.191,7.423,10252,-0.002
dodjiesLearn,0.970,1391.953,7.098,10364,-0.003
dodjiesLearn,0.969,1400.896,7.280,10302,-0.003
dodjiesLearn,0.991,1409.871,7.277,10254,-0.003
dodjiesLearn,0.949,1418.397,6.904,10264,-0.005
dodjiesLearn,0.960,1427.262,7.209,10362,-0.005
dodjiesLearn,1.025,1435.912,6.934,10270,-0.005
dodjiesLearn,0.997,1444.910,7.315,10304,-0.006
dodjiesLearn,0.997,1454.059,7.441,10350,-0.006
dodjiesLearn,1.040,1463.087,7.269,10284,-0.008
dodjiesLearn,1.003,1471.922,7.145,10298,-0.008
dodjiesLearn,1.070,1481.402,7.701,10258,-0.009
dodjiesLearn,0.955,1490.472,7.405,10350,-0.010
dodjiesLearn,1.096,1499.511,7.235,10366,-0.010
dodjiesLearn,1.132,1508.578,7.281,10356,-0.012
dodjiesLearn,0.878,1517.156,7.064,10328,-0.014
dodjiesLearn,1.055,1525.751,6.857,10252,-0.014
dodjiesLearn,0.946,1534.355,7.032,10328,-0.016
dodjiesLearn,0.970,1543.483,7.419,10328,-0.017
dodjiesLearn,0.953,1552.502,7.366,10444,-0.018
dodjiesLearn,0.957,1561.265,7.096,10458,-0.020
dodjiesLearn,0.956,1570.032,7.129,10272,-0.021
dodjiesLearn,0.965,1578.431,6.791,10294,-0.023
dodjiesLearn,0.980,1587.163,7.068,10316,-0.024
dodjiesLearn,0.948,1595.918,7.131,10360,-0.025
dodjiesLearn,0.933,1604.561,7.033,10278,-0.026
dodjiesLearn,1.041,1613.609,7.325,10328,-0.027
dodjiesLearn,1.041,1622.834,7.487,10408,-0.028
dodjiesLearn,1.058,1632.073,7.495,10346,-0.030
dodjiesLearn,1.024,1641.111,7.323,10366,-0.031
dodjiesLearn,0.953,1650.030,7.252,10274,-0.031
dodjiesLearn,1.095,1659.414,7.629,10358,-0.032
dodjiesLearn,0.943,1668.145,7.138,10244,-0.033
dodjiesLearn,1.019,1676.974,7.084,10328,-0.034
dodjiesLearn,0.941,1685.720,7.155,10242,-0.034
dodjiesLearn,0.942,1694.393,7.056,10286,-0.036
dodjiesLearn,0.987,1703.032,6.984,10460,-0.036
dodjiesLearn,0.957,1711.690,7.041,10310,-0.036
dodjiesLearn,0.993,1720.640,7.250,10242,-0.037
dodjiesLearn,0.934,1729.132,6.898,10278,-0.038
dodjiesLearn,0.947,1737.808,7.033,10314,-0.039
dodjiesLearn,0.953,1746.381,6.940,10302,-0.039
dodjiesLearn,1.019,1755.293,7.218,10338,-0.040
dodjiesLearn,1.067,1764.880,7.806,10358,-0.041
dodjiesLearn,1.021,1773.947,7.334,10304,-0.041
dodjiesLearn,0.985,1783.000,7.388,10412,-0.042
dodjiesLearn,0.957,1791.761,7.105,10348,-0.042
dodjiesLearn,0.972,1800.194,6.779,10244,-0.043
dodjiesLearn,0.978,1809.107,7.248,10254,-0.044
dodjiesLearn,0.935,1817.894,7.144,10246,-0.044
dodjiesLearn,0.957,1826.452,6.923,10370,-0.045
dodjiesLearn,1.010,1835.321,7.172,10252,-0.045
dodjiesLearn,1.113,1844.759,7.615,10278,-0.046
dodjiesLearn,0.873,1853.852,7.587,10342,-0.047
dodjiesLearn,0.916,1861.838,6.426,10348,-0.047
dodjiesLearn,0.866,1869.991,6.636,10394,-0.048
dodjiesLearn,0.951,1877.975,6.439,10296,-0.049
dodjiesLearn,0.932,1886.181,6.600,10330,-0.049
dodjiesLearn,0.883,1894.381,6.652,10492,-0.050
dodjiesLearn,0.870,1902.927,7.039,10490,-0.051
dodjiesLearn,0.966,1911.615,7.055,10334,-0.051
dodjiesLearn,1.039,1920.266,6.938,10256,-0.052
dodjiesLearn,0.956,1929.178,7.285,10354,-0.053
dodjiesLearn,1.005,1938.714,7.794,10346,-0.053
dodjiesLearn,0.997,1947.649,7.235,10284,-0.055
dodjiesLearn,0.993,1956.489,7.167,10320,-0.055
dodjiesLearn,1.096,1965.947,7.580,10344,-0.055
dodjiesLearn,0.928,1975.162,6.982,10336,-0.056
dodjiesLearn,0.889,1983.386,6.715,10400,-0.057
dodjiesLearn,0.927,1991.453,6.480,10260,-0.057
dodjiesLearn,0.878,1999.615,6.655,10332,-0.058
dodjiesLearn,0.897,2007.973,6.774,10440,-0.058
dodjiesLearn,0.870,2016.646,7.090,10270,-0.059
dodjiesLearn,1.057,2025.201,6.873,10324,-0.060
dodjiesLearn,0.911,2033.482,6.701,10340,-0.061
dodjiesLearn,0.902,2042.263,7.211,10362,-0.062
dodjiesLearn,1.016,2050.733,6.801,10326,-0.063
dodjiesLearn,1.090,2059.925,7.212,10342,-0.063
dodjiesLearn,1.356,2070.491,8.459,10292,-0.064
dodjiesLearn,1.636,2082.519,9.512,10370,-0.065
dodjiesLearn,1.087,2093.112,8.246,10360,-0.065
dodjiesLearn,1.254,2104.647,9.322,10292,-0.066
dodjiesLearn,0.903,2113.605,7.352,10310,-0.067
dodjiesLearn,0.902,2122.115,6.948,10332,-0.068
dodjiesLearn,0.919,2130.434,6.732,10306,-0.068
dodjiesLearn,0.882,2138.515,6.590,10262,-0.069
dodjiesLearn,0.989,2147.422,7.243,10268,-0.069
dodjiesLearn,0.857,2155.335,6.457,10250,-0.070
dodjiesLearn,0.886,2163.411,6.628,10520,-0.071
dodjiesLearn,0.859,2171.573,6.645,10298,-0.071
dodjiesLearn,0.877,2179.670,6.599,10364,-0.072
dodjiesLearn,0.866,2187.661,6.486,10294,-0.073
dodjiesLearn,0.859,2195.656,6.495,10334,-0.073
dodjiesLearn,0.864,2203.537,6.421,10576,-0.075
dodjiesLearn,0.868,2211.670,6.634,10330,-0.075
dodjiesLearn,0.917,2219.777,6.585,10276,-0.077
dodjiesLearn,0.898,2227.701,6.504,10302,-0.078
dodjiesLearn,0.908,2235.653,6.488,10368,-0.078
dodjiesLearn,0.870,2243.710,6.561,10254,-0.079
dodjiesLearn,0.892,2251.731,6.525,10434,-0.080
dodjiesLearn,0.853,2259.735,6.544,10326,-0.080
dodjiesLearn,0.948,2268.049,6.720,10254,-0.082
dodjiesLearn,0.943,2276.156,6.547,10354,-0.082
dodjiesLearn,0.919,2284.599,6.880,10434,-0.083
dodjiesLearn,0.890,2293.351,7.186,10480,-0.084
dodjiesLearn,0.876,2301.250,6.475,10578,-0.085
dodjiesLearn,0.889,2309.208,6.498,10246,-0.085
dodjiesLearn,0.856,2317.207,6.558,10278,-0.086
dodjiesLearn,0.883,2325.030,6.394,10330,-0.087
dodjiesLearn,0.868,2333.151,6.618,10372,-0.088
dodjiesLearn,0.868,2341.163,6.516,10274,-0.088
dodjiesLearn,0.891,2348.762,6.159,10382,-0.089
dodjiesLearn,0.867,2357.449,7.115,10270,-0.090
dodjiesLearn,0.864,2365.338,6.464,10284,-0.090
dodjiesLearn,0.867,2373.418,6.637,10622,-0.091
dodjiesLearn,0.897,2381.530,6.591,10358,-0.092
dodjiesLearn,0.933,2389.739,6.687,10320,-0.093
dodjiesLearn,0.881,2398.121,6.859,10272,-0.093
dodjiesLearn,0.864,2406.033,6.395,10382,-0.095
dodjiesLearn,0.895,2414.053,6.555,10336,-0.095
dodjiesLearn,0.887,2422.131,6.575,10308,-0.096
dodjiesLearn,0.868,2430.353,6.688,10368,-0.097
dodjiesLearn,0.883,2438.358,6.586,10752,-0.097
dodjiesLearn,0.942,2446.401,6.507,10288,-0.098
dodjiesLearn,0.866,2454.745,6.848,10356,-0.099
dodjiesLearn,0.881,2462.652,6.412,10336,-0.099
dodjiesLearn,0.901,2470.613,6.455,10266,-0.100
dodjiesLearn,0.858,2478.607,6.540,10252,-0.101
dodjiesLearn,0.858,2486.428,6.379,10360,-0.101
dodjiesLearn,0.882,2494.608,6.663,10316,-0.102
dodjiesLearn,0.858,2502.657,6.564,10316,-0.102
dodjiesLearn,0.869,2510.590,6.474,10288,-0.103
dodjiesLearn,0.888,2518.684,6.607,10438,-0.103
dodjiesLearn,0.865,2526.803,6.656,10358,-0.103
dodjiesLearn,0.856,2534.652,6.425,10252,-0.104
dodjiesLearn,0.854,2542.388,6.267,10242,-0.105
dodjiesLearn,0.876,2550.464,6.621,10340,-0.105
dodjiesLearn,0.870,2558.254,6.310,10254,-0.105
dodjiesLearn,0.935,2566.170,6.381,10442,-0.106
dodjiesLearn,0.887,2574.280,6.623,10280,-0.106
dodjiesLearn,0.919,2582.131,6.346,10308,-0.106
dodjiesLearn,0.927,2590.078,6.411,10316,-0.107
dodjiesLearn,0.877,2597.993,6.427,10258,-0.107
dodjiesLearn,0.903,2606.080,6.577,10244,-0.107
dodjiesLearn,0.921,2614.827,7.175,10276,-0.108
dodjiesLearn,0.886,2623.111,6.467,10280,-0.108
dodjiesLearn,0.906,2631.339,6.671,10360,-0.108
dodjiesLearn,0.879,2639.213,6.410,10354,-0.109
dodjiesLearn,0.920,2647.522,6.735,10296,-0.109
dodjiesLearn,0.868,2655.237,6.253,10334,-0.110
dodjiesLearn,0.888,2663.451,6.706,10356,-0.110
dodjiesLearn,0.864,2671.310,6.378,10262,-0.110
dodjiesLearn,0.870,2679.194,6.390,10324,-0.110
dodjiesLearn,0.912,2687.156,6.450,10382,-0.110
dodjiesLearn,0.875,2695.063,6.422,10280,-0.111
dodjiesLearn,0.858,2702.792,6.280,10294,-0.111
dodjiesLearn,0.873,2710.779,6.489,10292,-0.111
dodjiesLearn,0.860,2719.093,6.829,10360,-0.112
dodjiesLearn,0.855,2726.909,6.366,10302,-0.112
dodjiesLearn,0.916,2734.783,6.358,10500,-0.113
dodjiesLearn,0.908,2743.003,6.663,10304,-0.113
dodjiesLearn,0.871,2750.744,6.271,10278,-0.114
dodjiesLearn,0.864,2758.634,6.402,10310,-0.114
dodjiesLearn,0.864,2766.633,6.502,10340,-0.114
dodjiesLearn,0.867,2774.424,6.333,10356,-0.114
dodjiesLearn,0.862,2782.469,6.543,10248,-0.114
dodjiesLearn,0.889,2790.261,6.280,10266,-0.115
dodjiesLearn,0.877,2798.670,6.907,10724,-0.115
dodjiesLearn,0.876,2806.693,6.528,10360,-0.115
dodjiesLearn,0.867,2814.721,6.534,10444,-0.116
dodjiesLearn,0.894,2822.864,6.637,10254,-0.116
dodjiesLearn,0.866,2830.902,6.548,10312,-0.116
dodjiesLearn,0.928,2838.977,6.511,10274,-0.116
dodjiesLearn,0.875,2846.586,6.157,10294,-0.116
dodjiesLearn,0.860,2854.652,6.595,10250,-0.116
dodjiesLearn,0.858,2862.710,6.599,10348,-0.116
dodjiesLearn,0.859,2870.715,6.516,10254,-0.116
dodjiesLearn,0.892,2878.743,6.493,10342,-0.117
dodjiesLearn,0.891,2886.735,6.483,10332,-0.117
dodjiesLearn,0.906,2894.689,6.417,10326,-0.117
dodjiesLearn,0.891,2902.718,6.496,10324,-0.118
dodjiesLearn,0.891,2910.930,6.699,10292,-0.118
dodjiesLearn,0.886,2919.276,6.661,10328,-0.118
dodjiesLearn,0.885,2925.124,4.263,10338,-0.118
dodjiesLearn,0.883,2932.946,6.343,10318,-0.118
dodjiesLearn,0.865,2940.979,6.512,10358,-0.118
dodjiesLearn,0.878,2949.110,6.589,10296,-0.118
dodjiesLearn,0.872,2956.967,6.383,10280,-0.118
dodjiesLearn,0.890,2964.809,6.330,10264,-0.118
dodjiesLearn,0.905,2972.965,6.624,10364,-0.119
dodjiesLearn,0.902,2981.028,6.541,10304,-0.119
dodjiesLearn,0.861,2989.014,6.504,10282,-0.119
dodjiesLearn,0.909,2996.966,6.437,10470,-0.119
