Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.743,9.877,7.221,10530,nan
toucher,0.690,18.333,6.713,10530,nan
toucher,0.668,26.609,6.588,10356,0.800
toucher,0.679,34.920,6.612,10530,0.800
toucher,0.670,43.469,6.613,10350,1.327
toucher,0.635,52.048,6.790,10530,1.327
toucher,0.663,60.421,6.620,10350,1.383
toucher,0.662,68.927,6.633,10506,6.669
toucher,0.627,77.269,6.625,10530,6.669
toucher,0.677,85.843,6.628,10350,5.306
toucher,0.647,94.293,6.785,10530,5.306
toucher,0.623,102.647,6.516,10350,4.409
toucher,0.660,111.103,6.647,10530,4.409
toucher,0.645,119.554,6.658,10315,3.960
toucher,0.656,128.165,6.720,10565,3.884
toucher,0.625,136.510,6.662,10530,3.884
toucher,0.699,145.050,6.508,10350,3.493
toucher,0.646,153.397,6.605,10530,3.493
toucher,0.639,161.918,6.557,10350,3.107
toucher,0.644,170.235,6.657,10530,3.107
toucher,0.645,178.752,6.631,10315,2.842
toucher,0.626,187.204,6.643,10565,2.805
toucher,0.632,195.494,6.586,10315,2.638
toucher,0.626,203.880,6.505,10266,4.175
toucher,0.620,212.124,6.583,10400,4.175
toucher,0.628,220.614,6.566,10290,5.360
toucher,0.621,228.813,6.511,10270,5.360
toucher,0.625,237.225,6.517,10280,5.156
