Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
toucher,0.968,11.628,8.502,10530,nan
toucher,0.834,21.978,8.201,10530,nan
toucher,0.712,30.897,6.990,10356,1.310
toucher,0.695,39.864,7.116,10530,1.310
toucher,0.723,49.469,7.396,10350,0.952
toucher,0.690,58.689,7.146,10530,0.952
toucher,0.779,68.976,8.102,10350,0.626
toucher,0.641,78.121,7.167,10530,0.626
toucher,0.657,86.560,6.727,10530,0.626
toucher,0.678,95.820,7.160,10350,0.884
toucher,0.643,104.394,6.803,10530,0.884
toucher,0.629,112.798,6.480,10350,0.913
toucher,0.651,121.178,6.620,10530,0.913
toucher,0.629,129.528,6.439,10331,3.525
toucher,0.620,137.976,6.559,10530,3.525
toucher,0.672,146.392,6.663,10500,3.393
toucher,0.622,154.864,6.514,10380,3.033
toucher,0.652,163.388,6.607,10530,3.033
toucher,0.612,171.949,6.522,10350,2.831
toucher,0.623,180.302,6.755,10530,2.831
toucher,0.693,188.846,6.542,10350,2.563
toucher,0.642,197.422,6.748,10530,2.563
toucher,0.620,205.759,6.577,10350,2.329
toucher,0.624,214.317,6.649,10530,2.329
toucher,0.678,222.794,6.695,10530,2.329
toucher,0.659,231.883,6.981,10350,2.257
toucher,0.643,240.722,7.081,10530,2.257
toucher,0.671,249.531,6.797,10350,2.069
